id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,created_at,url,image_url,latitude,longitude,private_latitude,private_longitude,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
113978864,e3000424-31b4-4116-a89c-c1678547bf69,2022-04-30 16:44:54,2022-04-30,2022-04-30 20:44:54 UTC,Eastern Time (US & Canada),2022-04-30 21:39:36 UTC,https://www.inaturalist.org/observations/113978864,https://inaturalist-open-data.s3.amazonaws.com/photos/192511093/medium.jpeg,40.4502777778,-78.3783333333,,,Blair,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
114777191,1686acfd-6e39-44ce-89f4-14ebd870934d,2022/05/02 10:35 AM,2022-05-02,2022-05-02 14:35:00 UTC,Eastern Time (US & Canada),2022-05-02 17:42:57 UTC,https://www.inaturalist.org/observations/114777191,https://inaturalist-open-data.s3.amazonaws.com/photos/193771906/medium.jpg,40.2736127,-76.8631663,,,Dauphin,Mason Bees,Osmia,Mason Bees,Insecta,57674
115258997,6e5355ee-61fb-4d6e-a50d-e74892fed258,2022-04-30 11:01:08-04:00,2022-04-30,2022-04-30 15:01:08 UTC,Eastern Time (US & Canada),2022-05-04 01:11:27 UTC,https://www.inaturalist.org/observations/115258997,https://inaturalist-open-data.s3.amazonaws.com/photos/194557367/medium.jpg,40.3345775791,-74.937578427,,,Bucks,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
115418832,10604f32-0fc8-4e13-9864-1b9fa75e5888,2022/04/30 10:18 AM,2022-04-30,2022-04-30 14:18:00 UTC,Eastern Time (US & Canada),2022-05-04 18:38:11 UTC,https://www.inaturalist.org/observations/115418832,https://inaturalist-open-data.s3.amazonaws.com/photos/194790664/medium.jpg,40.7187224409,-79.5130835514,,,Armstrong,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
115663150,c3e070ac-e6e9-4225-863a-9536f722eb3e,2022-05-05 13:20:32-04:00,2022-05-05,2022-05-05 17:20:32 UTC,Eastern Time (US & Canada),2022-05-06 01:34:36 UTC,https://www.inaturalist.org/observations/115663150,https://static.inaturalist.org/photos/195211270/medium.jpg,40.6157633333,-79.1645361667,,,Indiana,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
115776246,2a51d059-5065-4133-9166-570660b5f039,2022-05-02 16:30:57,2022-05-02,2022-05-02 20:30:57 UTC,Eastern Time (US & Canada),2022-05-06 18:41:07 UTC,https://www.inaturalist.org/observations/115776246,https://inaturalist-open-data.s3.amazonaws.com/photos/195398237/medium.jpeg,40.0309817997,-75.1937264997,,,Philadelphia,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
115825335,7d9b525f-6c8d-40ee-8f48-1c770e69c1c0,2022-05-05 13:20:31-04:00,2022-05-05,2022-05-05 17:20:31 UTC,Eastern Time (US & Canada),2022-05-07 00:43:00 UTC,https://www.inaturalist.org/observations/115825335,https://static.inaturalist.org/photos/195483872/medium.jpg,40.6157616667,-79.1645361667,,,Indiana,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
116443191,15f4bf74-6593-4f41-b66b-0da89f899abe,2022/04/24 12:00 PM,2022-04-24,2022-04-24 16:00:00 UTC,Eastern Time (US & Canada),2022-05-10 17:14:41 UTC,https://www.inaturalist.org/observations/116443191,https://inaturalist-open-data.s3.amazonaws.com/photos/196558662/medium.jpeg,40.0304909378,-75.8433150954,,,Chester,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
116749552,50685ea5-f780-4049-b5a2-0de798de2da8,2022/04/29 3:17 AM,2022-04-29,2022-04-29 07:17:00 UTC,Eastern Time (US & Canada),2022-05-12 21:24:45 UTC,https://www.inaturalist.org/observations/116749552,https://static.inaturalist.org/photos/197096989/medium.jpg,40.5325386545,-79.7919855569,,,Allegheny,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
116749559,8b049c5c-005c-4432-9617-ab3e3f7d7d3d,2022/04/29 3:29 AM,2022-04-29,2022-04-29 07:29:00 UTC,Eastern Time (US & Canada),2022-05-12 21:24:47 UTC,https://www.inaturalist.org/observations/116749559,https://static.inaturalist.org/photos/197097287/medium.jpg,40.5339472732,-79.7944517585,,,Allegheny,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
116859201,7b84cb70-07cb-45e5-a313-bd48e34af1ae,Fri May 13 2022 13:49:05 GMT -0400 (EDT),2022-05-13,2022-05-13 17:49:05 UTC,Eastern Time (US & Canada),2022-05-13 17:49:12 UTC,https://www.inaturalist.org/observations/116859201,https://inaturalist-open-data.s3.amazonaws.com/photos/197295534/medium.jpeg,40.1454620361,-76.5877380371,,,Lancaster,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
117495171,60106c9a-82d5-415b-b371-d046727990aa,2022-05-17 10:50:09,2022-05-17,2022-05-17 14:50:09 UTC,Eastern Time (US & Canada),2022-05-17 20:05:26 UTC,https://www.inaturalist.org/observations/117495171,https://inaturalist-open-data.s3.amazonaws.com/photos/198435575/medium.jpeg,39.9244472,-76.6741468997,,,York,Osmia lignaria,Osmia lignaria,Blue Orchard Bee,Insecta,121507
118312165,ea961af3-2f7b-403e-bb8f-56ddb71b02f0,2022/05/22 7:49 AM,2022-05-22,2022-05-22 11:49:00 UTC,Eastern Time (US & Canada),2022-05-23 02:37:21 UTC,https://www.inaturalist.org/observations/118312165,https://inaturalist-open-data.s3.amazonaws.com/photos/199880537/medium.jpg,40.4124340605,-76.9277232984,,,Dauphin,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
